TYPE,userID,latitude,longitude,age,gender,famstatus,lang,profession,hobby,sport,travel_distance,age_group,lang_group,vehicle_life_group,vehiclekind,vehicletype,target_id,,
lead_type,10145,42.54031531,-8.264507382,51,M,single,spanish,hotelmanager,diving,Watersports,high,senior,port_spain_group,Family,JaguarPace,petrol,114,,
lead_type,10146,39.686789,-8.547766932,47,M,married,english,propertymanager,carsocial,motorsport,high,senior,nonport,VIP,BMWi3,petrol,123,,
lead_type,10147,40.90260977,-6.370844807,32,M,single,portoguese,propertymanager,cinema,tennis,medium,midage,port_spain_group,VIP,TeslaModel3,petrol,140,,
lead_type,10148,41.04080056,-6.382122241,48,F,single,portoguese,bankmanager,fitness,Martial,arts,high,senior,port_spain_group,Family,petrol,NISSAN,,126
lead_type,10149,41.78350891,-7.35106443,50,M,married,french,propertymanager,shopping,tennis,high,senior,nonport,VIP,JaguarPace,petrol,130,,
lead_type,10150,41.45614784,-7.289523345,24,M,married,english,propertymanager,swimming,cycling,low,young,nonport,Mid,MitsubishiOutlander,petrol,112,,
lead_type,10151,42.87002666,-8.168294084,40,F,married,spanish,bankmanager,cycling,basketball,medium,midage,port_spain_group,Family,NISSAN,petrol,LEAF,,
lead_type,10152,41.37842314,-7.351867712,18,M,single,spanish,agriculturemanager,shopping,Watersports,low,young,port_spain_group,Mid,RenaultZOE,petrol,138,,
lead_type,10153,42.87051666,-7.439546476,52,F,single,portoguese,biker,fitness,tennis,high,senior,port_spain_group,Family,MitsubishiOutlander,petrol,137,,
lead_type,10154,41.49711433,-7.430896163,27,M,single,spanish,architect,investing,Canoeing,low,young,port_spain_group,VIP,NISSAN,petrol,LEAF,,
lead_type,10155,39.46079927,-8.317562402,32,M,single,portoguese,taxidriver,meetupsocial,motorsport,medium,midage,port_spain_group,Family,MitsubishiOutlander,petrol,140,,
lead_type,10156,41.94419796,-7.282105282,33,M,single,french,architect,cycling,motorsport,medium,midage,nonport,Family,JaguarPace,petrol,109,,
lead_type,10157,41.83569674,-7.241618181,46,M,single,spanish,retailer,fitness,Watersports,high,senior,port_spain_group,Mid,Hyunday,petrol,105,,
lead_type,10158,42.13832104,-6.913893135,34,M,single,portoguese,propertymanager,meetupsocial,dancing,medium,midage,port_spain_group,Family,RenaultZOE,petrol,108,,
